count,hate_speech,offensive_language,neither,class,tweet,text length,final_tweet
3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,49,like snoop love hoe
3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,47,momma pussy cat inside doghouse
3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",76,hate hoe favorite mw sevenone
3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",130,nice girl bad naughty bad yello hoe real nice body south chick like em real thick
3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",44,pimp pimp hoe future voice
3,0,3,0,1,""" post a picture of that pussy get 200 likes """,46,post picture pussy like
3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",75,pussy powerful drug happyhumpday
3,0,3,0,1,""" quick piece of pussy call it a drive by """,43,quick piece pussy drive
3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,73,run round like brand new pussy s bout fuck
3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,59,bitch worst ll send guy
3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,60,hoe like niggas spend money talk bout
3,1,2,0,1,""" we dont trust these niggas all these bitches """,48,trust niggas bitch
3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,65,niggas b cuffing hoe cause bitch
3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",133,dodge bullet da bitch cut pregnant bind thank god
3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,54,young pill chamberlain bitch love music
3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",191,teanna trump probably clean twitter hoe
3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",158,gay nigga couldn t wait act like bitch tonight
3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",188,m steal cat n replace pitbull bitch
3,0,3,0,1,"""&amp; he's gone always be a hoe""",33,amp s hoe
3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",57,son bitch tic tacs like movie
3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",73,wanna money fuck model bitch russell simmons
3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",130,probably wouldn t mind school didn t deal bitch ass teacher retweet
3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""",41,m fucking fag
3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",127,female think date pussy cute stuff pussy
3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",87,simplyaddictedtoguy woof woof hot scally lad
3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",82,ya ask bitch bitch kanye voice yes
3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",139,u bring ur bitch game know ya gf friend swear
3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",66,woof woof hot sol
3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",69,lemmie eat oreo amp dish oreo lol
3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",135,bitch fuck u maybe ll
3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",97,fuck red malone man bitch ass niggah use complete sentence
3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",83,eggplant emoji doe y look like scream lmao
3,0,3,0,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",87,hennessey venom gt s sexy bitch
3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",89,seh pussy wetter shower curtain ahmesehwetness lt lmao
3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",131,eaglesnation eagles need pic post bitch racist shit
3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",127,yo fuck skateboard wood push faggot man ball life
3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",94,baby monkey bathtime awwwwe soooo adorable
3,0,3,0,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",87,ain t shit damn skippy lol
3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",143,u kill ant sidewalk think damn nigga way pussy bs b gt chance
3,0,3,0,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",79,rings mvps bitch lol
3,1,2,0,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",104,ppl talk bad ghetto hood kid grow nigga funnnnnnn
9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",115,fact tattoo tattoo s pussy tattoo nipple
3,0,3,0,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",181,bitches want act like niggas bad shit cuteeeee niggas act like bitch
3,0,3,0,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",71,worship bitch woof woof
3,1,2,0,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",123,wow m lose buttcheek piercing yeah s hoe
3,0,3,0,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",110,ok sis d broke bitch shrug ll tell work
3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",61,queer gaywad
3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",90,faggot read tweet dat k wasn t funny lol
3,0,3,0,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",89,bitch ungrateful fr lulwhore
3,0,3,0,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""",44,kidnap yo bitch
3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",83,alsarabsss s beaner smh tell s mexican
3,1,2,0,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",52,happy birthday nig thank yo
6,1,5,0,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",113,ur teacher tell u u homework bitch need
3,1,2,0,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",140,nigga eat hoe lol hell yea lol john paul nigga john paul
3,0,3,0,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",107,lil ugly bald head bitch stop amp weave
3,1,2,0,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",123,leafs win damn game riot shit earlychristmas start loot nig
3,0,3,0,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",83,school suck dick hoe attend
3,0,3,0,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",86,way fuck yo bitch year old
3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",89,come bring food car retard
3,0,3,0,1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",128,richnow doesn t hella tinder hoe m friend anymore chill bring like like prople
3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",58,bout cowboys shutup pussy
3,0,3,0,1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",134,lmaooooooooooo nigga lt bitch want like depressing shit foh
3,0,3,0,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",106,girl know spit g shit amp lbvs bitch plz
3,0,3,0,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",120,let couple tweet cuzzo page win t twitter jail lmao bitch don t trick
3,0,2,1,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",80,harlem shake excuse retard second
3,0,3,0,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",141,amen miley okay don t need act like hoe bc s emotionally damage foh
3,0,3,0,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",88,loyal female wayyyyy hoe idc
3,0,3,0,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",122,pussy lick pussy meow meow stopwhitepeople
3,0,3,0,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",105,check th man cowboysnation faggot ny fan stand
3,0,3,0,1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",109,happen vixen ent bitch got run throw like foothill bitch
3,0,3,0,1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",91,m bitch okay nude pat wow
3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",119,fuck gay blacklist hoe hold tehgodclan
3,0,3,0,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",70,fuck wrong bitch know
3,0,3,0,1,"""@Dietrich1892: Yall shut up:p"" make me bitch",45,yall shut p bitch
3,1,2,0,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",53,hate m pregnant type bitch
3,0,3,0,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",80,bitch dm don t read em y
3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",86,baseball season win yankees love start
3,0,3,0,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",68,little stupid bitch don t fuck yoooooouuuu
3,0,3,0,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",100,ask dead ass tho bitch wheet lol
3,0,0,3,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",81,m early bird m night owl m wise worm
3,0,1,2,2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",99,overdose heavy drug doesn t sound bad tonight pussy shit day
3,0,0,3,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",131,pit bulls photograph lovely fairy tale creatures fairy tale creature
3,0,3,0,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",73,aw fag don t tweet aw lol
3,0,0,3,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",111,long lakers trash careless s real cc hahaha
3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",68,didn t tho kiss faggot
3,0,0,3,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",136,play soccer cheat girl wear khaki colour cargo haircut yup
3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same",59,fat ass bitch lap
3,0,3,0,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",108,miss das yo p o bitch twitter finna screamn freemoneymelle
6,0,6,0,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",162,ya bitch know s rule shit anybody ask cousin jersey thinkin bout lmmfao
3,0,3,0,1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",87,amo los pie fuck yeah
3,0,3,0,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",96,hoe think meat win t slap ass ainna bruh
3,0,3,0,1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",123,yall bitch wit edge talk
3,0,3,0,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",135,yall trick treat year nah hell yeah m da sweet tooth bandit steal bitch bag n shit
3,0,3,0,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",120,wanna sex mom fuck right pussy come damn got hack like fuck
6,0,6,0,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",73,kiss u eye open watch bitch lmfao
3,0,3,0,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",69,woulda coulda shoulda ass hoe
3,0,3,0,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",85,happy bday bitch ass nigga preciate bitch roll
3,0,3,0,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",60,use send bitch
6,0,6,0,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",101,ugly bitch like m wcw duh bitch ain t
3,1,2,0,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",98,nigga know hacky sack hoe nah throw look pass lmao
3,1,2,0,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",143,glad m outta atlanta bunch niggas amp outta jail amp dumb bitch mad kid fuckin em
3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",91,isn t ghetto s smart m idc
3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",140,wife hoe cuz wouldn t care cheat force relationship place
3,0,3,0,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",72,single isn t excuse hoe
3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch",55,white boy power bitch black power bitch
3,0,3,0,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",113,let drunk blow spit shit spark blunt amp fuck hoe bro white dude chill
3,0,3,0,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",94,bitch u world
3,0,3,0,1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",161,don t dick suck yo party bad bitch m fr set
3,0,2,1,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",72,oomf soooo cute probably hoe lot
3,0,3,0,1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",130,cartoon theirs alway save hoe lmao lmao damn captain saveahoe
3,0,1,2,2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",137,want nose bad bois scally chav sockfetish stink hot sox leg
3,0,3,0,1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",86,wish bitch like brother keezy ooooow bet
6,0,6,0,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",85,dress cat halloween basic pussy
4,0,4,0,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",117,pornhub gaming stream feature dumb bitch gtfo katie lt
3,0,3,0,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",142,stop scared choke sex u bitch ass niggas ll like guy hit woman bed foh
3,0,3,0,1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",120,ha iguess hoe loyal bro ll loyal y hoe nig
6,0,6,0,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",97,oh man molly ho fuck ya seed fix
3,0,3,0,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",70,man refer girl bitch
3,0,3,0,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",113,lmfao cat start beat shit nigga finally pussy nigga
3,0,1,2,2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",138,peel peel bring rewind m shaq line ooooow tf trash
3,0,2,1,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",91,io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha
3,0,3,0,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",134,naw s old tape new cover upcoming mixtape kingofthehill yeah m wait hoe mayne
3,0,3,0,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",67,ol dirty foot ass bitch funny
3,0,3,0,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",119,s yellow flag amazing hell yeah niggy
3,0,3,0,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",61,don t time bitch actin iffy
3,0,0,3,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",118,ucfpinkparty come stay alive knight nation early bird special comeatmeut
3,0,2,1,1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",125,hoe ain t loyal ain t smfh amp wonder decent want
3,0,3,0,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",140,bruh stud think m soft hell ask ya girl time scream bitch oh okay stfu bye hoe
3,0,3,0,1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",105,dry pussy bitch blame condom
3,0,3,0,1,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",77,shut yo bitch ass
3,0,3,0,1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",105,gucci mane jail drop mixtape month hoe t text
3,0,3,0,1,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",75,love hoe money wat wrong niggas
6,0,6,0,1,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",140,loyal bitch burb daddy issue like find holographic mewtwo sound like lol
3,0,3,0,1,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",51,easy cum easy hoe s fact
3,0,3,0,1,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",104,charlie sheen real major fucking respect charlie sheen
3,0,3,0,1,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",71,wish bae hoe tho
3,0,3,0,1,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",50,fuck twerke bitch cook
3,0,3,0,1,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",65,bitch wtf
3,1,2,0,1,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",147,shut zoe fight pussy zoe m good man good ma
3,0,3,0,1,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",47,lmao fucking snake bitch em
3,0,3,0,1,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",94,big booty hoe sheesh damn
3,0,0,3,2,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",140,stay tuned update report b week bum
3,0,0,3,2,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",150,play soccer cheat girl wear khaki colour cargo haircut yes lmfao
3,0,3,0,1,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",81,oregon choke year field trash ass program rft
3,0,3,0,1,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",144,def cowboy lol terrell owens good eagle amp cowboy dude cry like bitch tv romo
3,3,0,0,0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",117,lmfaoooo hate black people s black people nigger
3,0,3,0,1,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",78,u bitch potent
