Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
15,38,No,Travel_Rarely,963,Research & Development,6,4,Life Sciences,1,1992,4,Female,80,3,3,Research Director,4,Divorced,4475,9283,1,Y,No,11,4,4,80,1,11,3,2,4,8,6,11
16,29,No,Travel_Frequently,1912,Human Resources,14,3,Life Sciences,1,1551,1,Male,41,2,2,Manager,4,Married,4128,7740,9,Y,No,18,4,2,80,0,20,4,2,33,2,11,7
17,42,No,Travel_Frequently,901,Sales,8,4,Medical,1,826,4,Male,100,3,2,Sales Executive,4,Divorced,5049,8257,0,Y,No,14,3,3,80,0,10,2,3,4,2,0,2
18,54,No,Travel_Frequently,868,Sales,22,2,Medical,1,1460,2,Female,70,3,2,Sales Executive,2,Divorced,5051,14788,1,Y,No,11,3,3,80,0,10,3,3,5,0,0,7
19,40,No,Travel_Rarely,1379,Sales,18,4,Technical Degree,1,2056,4,Male,103,3,2,Research Director,3,Single,4734,5070,6,Y,No,15,4,1,80,0,6,3,3,5,2,0,7
20,41,No,Non-Travel,949,Sales,28,2,Life Sciences,1,367,4,Male,34,3,2,Laboratory Technician,4,Married,7621,18182,7,Y,No,12,3,3,80,1,10,3,3,7,9,0,3
21,48,No,Travel_Frequently,2009,Sales,38,2,Medical,1,455,3,Male,115,3,3,Sales Executive,4,Married,8799,24304,1,Y,No,13,3,3,80,0,20,2,2,0,2,0,10
22,32,No,Travel_Rarely,963,Sales,11,4,Life Sciences,1,950,4,Female,34,2,1,Laboratory Technician,1,Divorced,14733,31229,1,Y,No,17,3,2,80,0,1,4,3,1,8,0,0
23,34,No,Travel_Rarely,1524,Research & Development,7,1,Life Sciences,1,454,4,Male,90,3,2,Manager,1,Single,9357,16536,0,Y,No,18,3,3,80,0,38,3,3,1,0,0,2
24,34,No,Travel_Frequently,816,Research & Development,20,2,Technical Degree,1,1557,4,Male,62,3,1,Research Scientist,1,Divorced,3965,29260,5,Y,No,19,3,3,80,0,29,3,4,1,0,0,5
25,34,No,Travel_Rarely,1104,Research & Development,8,4,Life Sciences,1,1304,4,Male,42,3,2,Sales Representative,2,Married,4423,10369,0,Y,No,20,4,3,80,0,5,0,2,15,0,6,6
26,52,No,Travel_Frequently,806,Research & Development,28,3,Life Sciences,1,1852,2,Male,37,3,4,Laboratory Technician,1,Single,4369,14529,1,Y,No,12,4,3,80,0,5,0,3,5,0,0,13
27,35,No,Travel_Rarely,283,Research & Development,7,3,Life Sciences,1,900,4,Male,110,3,2,Manufacturing Director,4,Single,9125,9442,3,Y,Yes,12,3,2,80,0,24,2,2,1,0,0,3
28,33,No,Travel_Rarely,435,Research & Development,8,2,Medical,1,1732,1,Male,89,1,2,Laboratory Technician,4,Single,4260,10960,3,Y,No,23,3,3,80,1,10,6,3,2,1,7,0
29,52,No,Travel_Rarely,1041,Sales,15,3,Medical,1,549,3,Male,36,4,4,Sales Executive,1,Single,6601,21348,7,Y,No,20,3,3,80,0,5,5,4,5,3,2,0
30,51,No,Travel_Frequently,629,Sales,16,3,Medical,1,1883,2,Male,113,2,2,Sales Executive,2,Divorced,6234,11751,4,Y,No,13,3,3,80,0,22,2,2,5,0,0,2
31,30,No,Travel_Rarely,1907,Research & Development,30,2,Life Sciences,1,1486,1,Male,89,3,1,Research Scientist,4,Married,5593,29178,7,Y,No,18,3,1,80,0,6,2,4,3,0,0,0
32,45,No,Travel_Rarely,1910,Research & Development,4,1,Medical,1,825,3,Male,66,2,4,Laboratory Technician,1,Divorced,8450,29627,4,Y,Yes,11,3,2,80,0,32,3,2,1,0,0,16
33,50,Yes,Travel_Frequently,556,Sales,2,4,Medical,1,311,1,Male,71,3,3,Laboratory Technician,3,Single,8199,18197,0,Y,No,14,3,3,80,0,12,5,3,5,0,2,6
34,42,No,Travel_Rarely,1772,Sales,22,4,Life Sciences,1,842,4,Male,39,4,3,Laboratory Technician,3,Single,6491,17511,7,Y,No,13,3,3,80,0,5,2,4,32,9,0,0
35,28,No,Travel_Frequently,2039,Sales,6,4,Medical,1,138,2,Male,39,3,2,Manufacturing Director,4,Married,5007,21543,4,Y,No,12,3,3,80,0,8,2,4,7,2,15,8
36,21,Yes,Travel_Rarely,610,Sales,35,2,Medical,1,783,1,Male,63,4,3,Laboratory Technician,3,Single,7535,13130,4,Y,No,14,4,2,80,0,30,2,3,10,0,3,4
37,33,No,Travel_Frequently,580,Research & Development,6,1,Medical,1,845,4,Male,93,3,1,Research Director,3,Divorced,9849,21712,0,Y,Yes,11,4,3,80,0,4,2,3,0,7,13,7
38,40,No,Travel_Rarely,392,Sales,15,3,Medical,1,657,4,Male,117,3,3,Sales Executive,4,Married,5021,21608,0,Y,Yes,12,3,3,80,1,1,3,3,3,3,1,3
39,41,No,Travel_Frequently,1841,Research & Development,7,3,Medical,1,28,3,Male,67,2,2,Laboratory Technician,4,Married,6814,10882,1,Y,No,11,4,2,80,1,12,5,4,2,7,1,3
40,29,No,Travel_Frequently,1368,Sales,18,4,Medical,1,1143,4,Male,68,2,2,Human Resources,4,Single,7665,13678,9,Y,No,13,3,2,80,0,38,2,2,10,2,9,0
41,50,No,Travel_Rarely,1479,Research & Development,34,4,Medical,1,1606,3,Female,63,3,2,Research Director,4,Single,6562,9757,4,Y,No,13,3,3,80,0,10,4,3,3,2,0,7
42,27,No,Travel_Rarely,805,Human Resources,17,2,Life Sciences,1,367,4,Male,95,3,2,Laboratory Technician,1,Single,5892,6875,1,Y,No,16,3,3,80,0,10,2,3,17,3,0,2
43,33,No,Travel_Frequently,1908,Research & Development,36,3,Other,1,918,4,Female,49,3,2,Laboratory Technician,1,Divorced,5467,17645,0,Y,No,14,3,2,80,0,8,6,4,6,7,0,0
44,28,No,Non-Travel,672,Sales,19,4,Medical,1,325,3,Female,49,3,3,Manufacturing Director,4,Single,4152,16493,2,Y,No,21,3,1,80,1,16,3,3,2,3,5,0
45,33,No,Travel_Rarely,1848,Sales,4,2,Other,1,1993,3,Male,97,3,2,Manufacturing Director,1,Divorced,16386,11127,6,Y,Yes,14,3,2,80,0,10,3,3,2,7,1,0
46,37,Yes,Travel_Rarely,1936,Sales,8,2,Medical,1,1196,2,Female,71,3,4,Sales Executive,1,Single,5771,37688,7,Y,No,13,4,4,80,0,10,3,2,5,0,0,0
47,19,No,Travel_Rarely,806,Sales,37,1,Medical,1,83,1,Male,36,4,2,Manager,4,Single,14848,36485,4,Y,No,16,3,3,80,0,3,0,4,5,1,0,5
48,41,No,Travel_Frequently,495,Research & Development,23,4,Marketing,1,387,4,Male,47,3,5,Manager,4,Single,13792,8723,3,Y,No,13,3,1,80,1,15,3,3,3,0,3,11
49,27,No,Travel_Rarely,831,Research & Development,32,4,Life Sciences,1,590,2,Female,96,2,2,Laboratory Technician,4,Divorced,5632,24622,3,Y,Yes,12,3,4,80,0,8,3,3,26,0,0,2
50,40,No,Travel_Rarely,1429,Sales,6,3,Life Sciences,1,1948,4,Male,62,4,2,Sales Executive,4,Married,5041,9448,7,Y,No,12,3,2,80,0,12,2,3,10,0,0,2
51,45,No,Travel_Frequently,2050,Research & Development,12,3,Medical,1,786,4,Male,85,3,4,Laboratory Technician,4,Divorced,4968,14740,0,Y,No,16,3,4,80,0,10,0,3,10,10,1,2
52,33,No,Travel_Rarely,1398,Sales,5,2,Life Sciences,1,277,2,Female,38,2,3,Research Director,1,Married,15811,10272,0,Y,Yes,18,3,3,80,1,5,2,3,2,2,0,7
53,34,No,Travel_Rarely,1276,Sales,18,2,Life Sciences,1,79,4,Male,120,3,3,Research Director,2,Single,6197,10224,7,Y,No,21,3,2,80,0,5,4,3,0,0,0,3
54,22,No,Travel_Frequently,1851,Research & Development,8,4,Life Sciences,1,1947,2,Male,82,3,4,Laboratory Technician,4,Divorced,12535,17741,6,Y,No,13,3,3,80,0,10,3,3,7,3,1,3
55,37,Yes,Travel_Frequently,1006,Human Resources,18,3,Medical,1,997,2,Female,129,3,3,Manufacturing Director,4,Single,10650,17718,7,Y,No,12,4,2,80,0,9,5,1,2,0,7,2
56,47,No,Travel_Frequently,1680,Sales,14,4,Marketing,1,1032,3,Male,66,2,2,Laboratory Technician,3,Single,8029,13978,0,Y,No,13,3,3,80,0,10,6,2,10,2,0,9
57,36,No,Non-Travel,1449,Research & Development,4,4,Life Sciences,1,575,4,Female,82,3,3,Sales Representative,4,Married,4294,9682,2,Y,No,13,3,3,80,0,10,3,3,5,2,7,2
58,45,No,Travel_Rarely,702,Research & Development,31,3,Medical,1,916,1,Male,45,3,1,Sales Executive,4,Divorced,6318,5819,0,Y,No,14,3,4,80,0,6,2,3,13,0,7,0
59,43,No,Travel_Frequently,1819,Sales,6,3,Life Sciences,1,612,4,Male,41,3,1,Laboratory Technician,4,Single,6468,25608,1,Y,Yes,14,3,3,80,0,20,3,4,3,2,2,7
60,27,No,Travel_Rarely,1664,Sales,28,2,Medical,1,1346,4,Female,99,3,2,Laboratory Technician,3,Married,7774,16197,4,Y,No,17,3,3,80,0,26,5,3,6,2,0,4
61,39,No,Non-Travel,1373,Research & Development,16,4,Marketing,1,514,3,Male,71,3,2,Laboratory Technician,2,Married,8351,8739,1,Y,No,11,3,4,80,0,10,3,3,1,2,0,8
62,52,No,Travel_Rarely,617,Research & Development,17,4,Medical,1,538,4,Male,84,2,3,Sales Executive,4,Divorced,6593,18665,1,Y,Yes,11,3,3,80,1,30,3,2,10,7,0,3
63,43,No,Travel_Rarely,735,Research & Development,3,2,Life Sciences,1,792,3,Male,71,2,3,Sales Executive,1,Divorced,6693,36950,7,Y,Yes,11,4,3,80,0,3,3,2,3,6,9,0
64,40,No,Travel_Frequently,569,Research & Development,36,4,Life Sciences,1,493,3,Male,38,2,4,Manager,4,Divorced,9052,7585,2,Y,No,21,4,3,80,0,19,2,3,20,2,3,0
65,35,No,Travel_Frequently,708,Sales,15,1,Medical,1,1582,1,Female,113,2,2,Manager,2,Divorced,12352,4122,1,Y,No,11,3,3,80,1,5,6,3,4,2,4,2
66,27,No,Travel_Rarely,327,Research & Development,16,4,Life Sciences,1,1002,4,Male,100,4,4,Sales Representative,3,Married,21566,24893,3,Y,Yes,15,4,2,80,0,8,5,3,1,3,0,4
67,50,No,Travel_Rarely,1318,Human Resources,3,4,Medical,1,2008,4,Male,36,3,2,Sales Executive,4,Divorced,5577,14871,1,Y,No,12,3,3,80,1,1,2,3,0,2,0,8
68,43,No,Travel_Rarely,473,Sales,5,2,Medical,1,433,4,Male,121,2,1,Laboratory Technician,4,Divorced,4290,5257,2,Y,No,18,3,2,80,0,6,3,3,5,6,3,17
69,32,No,Travel_Frequently,2043,Research & Development,5,2,Life Sciences,1,1017,4,Male,115,2,4,Laboratory Technician,4,Married,4028,6141,4,Y,No,13,3,2,80,2,10,2,3,3,2,1,6
70,35,No,Travel_Rarely,804,Sales,11,4,Marketing,1,611,4,Female,52,3,2,Research Director,1,Single,6073,21332,7,Y,No,13,3,3,80,0,6,2,3,5,2,0,8
71,32,No,Non-Travel,1578,Research & Development,28,2,Life Sciences,1,634,2,Male,65,3,3,Sales Executive,2,Divorced,5055,38544,9,Y,Yes,13,4,4,80,0,7,2,2,8,9,1,8
72,43,No,Travel_Rarely,1830,Research & Development,7,4,Life Sciences,1,1162,3,Male,121,4,2,Research Director,1,Married,4871,15791,1,Y,No,12,4,1,80,1,11,2,3,5,2,0,0
73,32,Yes,Travel_Rarely,524,Research & Development,7,3,Life Sciences,1,1905,1,Male,50,3,1,Sales Executive,3,Single,7445,7910,7,Y,No,18,3,3,80,3,10,3,2,1,17,0,8
74,24,No,Travel_Rarely,557,Sales,5,4,Medical,1,399,3,Male,37,2,1,Research Director,3,Single,5546,20080,6,Y,Yes,12,3,4,80,1,20,2,3,10,2,0,4
75,41,No,Travel_Rarely,699,Sales,6,4,Medical,1,885,3,Male,107,3,4,Laboratory Technician,4,Single,5390,21761,0,Y,No,22,4,3,80,0,10,2,3,32,3,0,1
76,30,Yes,Travel_Frequently,1795,Research & Development,3,2,Life Sciences,1,224,1,Male,52,4,1,Sales Executive,3,Divorced,14087,7644,0,Y,No,21,3,4,80,0,23,5,3,10,2,0,8
77,30,No,Travel_Rarely,2050,Research & Development,8,3,Medical,1,964,2,Male,40,3,2,Laboratory Technician,4,Married,10871,7995,0,Y,No,11,4,3,80,0,16,3,4,11,2,7,7
78,37,No,Travel_Frequently,629,Research & Development,3,4,Technical Degree,1,311,4,Male,96,2,1,Laboratory Technician,4,Single,4956,6673,2,Y,Yes,12,3,2,80,2,2,2,2,1,1,0,2
79,37,No,Travel_Rarely,673,Sales,8,3,Life Sciences,1,581,4,Male,44,2,2,Sales Representative,2,Divorced,5490,6406,1,Y,No,12,3,2,80,0,4,2,2,5,10,0,0
80,51,No,Non-Travel,1860,Research & Development,18,3,Life Sciences,1,1689,4,Male,65,3,1,Laboratory Technician,4,Divorced,5634,18208,1,Y,No,12,4,3,80,1,10,0,2,3,7,0,3
81,45,No,Non-Travel,1784,Human Resources,3,4,Life Sciences,1,757,3,Female,45,3,5,Laboratory Technician,4,Divorced,20330,25304,1,Y,No,11,3,3,80,1,5,4,3,7,5,4,2
82,35,Yes,Travel_Frequently,1721,Research & Development,11,4,Technical Degree,1,165,1,Male,78,2,2,Research Director,4,Single,4564,24294,4,Y,No,11,3,1,80,0,16,3,3,1,7,6,8
83,31,No,Non-Travel,1153,Research & Development,8,1,Life Sciences,1,2024,3,Male,93,3,2,Research Director,2,Married,16192,12930,0,Y,No,15,3,1,80,0,13,3,1,10,0,0,2
84,37,No,Travel_Rarely,1670,Research & Development,12,4,Medical,1,2054,2,Male,64,3,2,Laboratory Technician,4,Divorced,6266,4659,8,Y,No,12,3,3,80,1,21,5,3,9,2,12,2
85,31,No,Travel_Rarely,2009,Sales,3,3,Medical,1,1420,4,Male,98,2,1,Research Scientist,3,Single,13574,14293,6,Y,No,12,3,3,80,1,1,3,4,15,2,0,9
86,37,No,Non-Travel,2088,Research & Development,30,3,Medical,1,391,4,Male,102,3,3,Sales Representative,4,Divorced,5296,22873,9,Y,No,11,3,3,80,0,3,3,3,11,2,4,0
87,40,No,Travel_Rarely,1152,Research & Development,8,2,Medical,1,1979,3,Female,66,3,5,Sales Executive,4,Divorced,9720,7853,1,Y,No,12,3,2,80,0,5,5,3,4,2,0,0
88,44,Yes,Travel_Rarely,374,Sales,7,3,Life Sciences,1,635,4,Female,129,3,2,Sales Executive,2,Divorced,5887,6761,1,Y,No,13,3,2,80,0,10,4,2,10,2,9,8
89,29,No,Travel_Rarely,1758,Research & Development,6,2,Life Sciences,1,61,3,Male,112,4,2,Laboratory Technician,4,Single,5963,3258,2,Y,No,14,3,3,80,2,10,6,3,9,0,0,3
90,38,No,Travel_Rarely,714,Research & Development,4,2,Medical,1,1818,4,Male,94,2,1,Research Scientist,4,Married,13296,5408,2,Y,No,12,3,1,80,0,7,0,3,8,0,0,2
91,28,No,Travel_Rarely,959,Research & Development,7,4,Medical,1,262,4,Male,91,2,1,Sales Executive,3,Divorced,4550,26353,1,Y,Yes,12,3,1,80,0,10,2,1,1,2,0,0
92,22,No,Travel_Rarely,1869,Research & Development,7,2,Medical,1,1638,4,Male,46,3,1,Research Director,4,Single,5179,12265,2,Y,Yes,13,4,4,80,0,0,3,3,0,5,0,8
93,45,No,Non-Travel,294,Sales,15,4,Life Sciences,1,1736,4,Male,89,2,2,Laboratory Technician,3,Divorced,18461,11471,1,Y,No,12,3,3,80,0,20,3,3,14,1,0,1
94,35,No,Travel_Rarely,1451,Sales,39,1,Life Sciences,1,1612,1,Female,38,3,2,Sales Executive,4,Married,10045,8872,3,Y,No,14,3,4,80,1,1,2,2,8,8,7,2
95,34,No,Travel_Rarely,1256,Research & Development,29,1,Life Sciences,1,1204,3,Female,57,3,3,Laboratory Technician,3,Single,4599,27929,0,Y,No,18,3,3,80,0,8,2,4,3,2,9,2
96,26,No,Travel_Rarely,1454,Research & Development,5,2,Life Sciences,1,829,4,Female,59,4,3,Laboratory Technician,4,Single,13255,15745,7,Y,No,12,3,3,80,0,8,5,3,6,0,2,0
97,22,Yes,Travel_Frequently,1338,Sales,7,3,Life Sciences,1,1871,4,Male,84,3,2,Laboratory Technician,4,Divorced,11747,31649,3,Y,No,14,3,1,80,0,2,3,2,10,2,7,7
98,59,Yes,Travel_Frequently,1925,Human Resources,5,4,Medical,1,1116,4,Male,57,3,2,Laboratory Technician,4,Single,7011,36052,0,Y,Yes,14,3,3,80,0,1,2,2,1,7,0,0
99,52,No,Travel_Frequently,781,Human Resources,7,3,Technical Degree,1,282,4,Female,91,3,5,Manager,1,Married,7966,6927,0,Y,Yes,14,3,4,80,0,8,5,4,3,2,0,0
100,41,No,Travel_Rarely,478,Research & Development,40,2,Marketing,1,1420,4,Male,108,4,2,Research Director,4,Married,20620,28920,5,Y,No,12,3,1,80,0,32,2,3,13,2,0,3
101,46,Yes,Non-Travel,1081,Research & Development,22,4,Medical,1,867,4,Male,116,3,1,Manager,4,Single,4857,29758,0,Y,No,15,4,2,80,0,18,5,3,7,0,0,8
102,59,No,Travel_Frequently,1894,Research & Development,32,2,Marketing,1,1951,1,Male,61,2,2,Sales Executive,4,Divorced,5427,9140,0,Y,No,12,3,4,80,0,12,2,4,5,3,0,0
103,35,No,Travel_Rarely,1544,Research & Development,31,2,Medical,1,1015,2,Male,114,3,5,Research Scientist,1,Divorced,4348,19759,7,Y,No,14,3,3,80,1,22,3,3,9,2,4,3
104,53,No,Travel_Rarely,691,Sales,27,1,Life Sciences,1,1421,2,Male,91,3,2,Laboratory Technician,4,Single,10302,22688,0,Y,No,20,3,2,80,0,11,5,1,5,0,0,0
105,45,No,Travel_Frequently,919,Human Resources,8,3,Life Sciences,1,2025,3,Male,83,3,3,Research Scientist,4,Single,5171,7421,1,Y,No,12,3,3,80,0,10,2,4,5,0,1,0
106,37,No,Travel_Frequently,1453,Research & Development,6,4,Life Sciences,1,679,1,Male,61,3,2,Laboratory Technician,4,Married,5802,11597,0,Y,No,16,3,1,80,1,24,6,3,3,2,1,3
107,39,Yes,Travel_Frequently,2024,Sales,18,4,Marketing,1,331,4,Male,83,3,1,Sales Executive,1,Single,11393,35605,7,Y,No,18,3,2,80,1,6,2,2,3,9,0,0
108,42,No,Travel_Frequently,1416,Research & Development,7,2,Medical,1,36,4,Female,95,3,3,Sales Executive,4,Divorced,9264,26669,1,Y,No,16,4,3,80,0,16,3,3,3,7,1,1
109,51,No,Travel_Frequently,750,Research & Development,23,4,Medical,1,612,2,Male,95,3,2,Laboratory Technician,1,Single,8283,13665,3,Y,No,14,3,2,80,1,25,2,3,6,7,0,3
110,22,Yes,Non-Travel,2006,Sales,5,4,Life Sciences,1,942,1,Male,126,3,2,Sales Representative,4,Single,4432,13473,1,Y,No,15,3,1,80,0,15,2,2,11,0,0,0
111,39,No,Travel_Frequently,953,Research & Development,6,4,Life Sciences,1,976,3,Female,117,2,3,Laboratory Technician,4,Married,9515,29369,1,Y,No,12,3,3,80,1,1,2,3,5,0,0,5
112,32,No,Travel_Rarely,896,Human Resources,3,3,Medical,1,454,3,Male,86,3,2,Research Scientist,3,Married,21040,24874,5,Y,No,14,3,3,80,0,20,3,4,5,2,11,2
113,54,No,Travel_Frequently,621,Research & Development,33,4,Life Sciences,1,1117,4,Female,40,3,2,Laboratory Technician,1,Single,4631,19642,0,Y,Yes,16,3,2,80,0,21,2,3,1,14,0,0
114,50,No,Travel_Frequently,828,Human Resources,35,4,Medical,1,1464,4,Male,49,2,3,Laboratory Technician,4,Divorced,11542,19820,7,Y,No,14,3,3,80,2,8,2,2,7,9,0,2
115,36,No,Travel_Rarely,993,Research & Development,17,4,Life Sciences,1,283,2,Female,95,2,2,Manufacturing Director,1,Divorced,13354,7928,0,Y,Yes,18,3,3,80,0,5,6,2,5,0,2,15
116,52,Yes,Travel_Rarely,1943,Research & Development,4,4,Life Sciences,1,880,3,Female,43,3,2,Laboratory Technician,4,Divorced,14817,8245,1,Y,Yes,12,3,1,80,0,17,3,3,10,12,1,8
117,53,No,Travel_Rarely,1301,Research & Development,8,1,Medical,1,615,4,Female,99,4,2,Sales Executive,2,Divorced,4587,28056,1,Y,No,16,3,1,80,1,6,2,3,10,2,0,1
118,52,No,Travel_Rarely,231,Research & Development,12,2,Marketing,1,1431,3,Male,122,2,1,Research Director,1,Divorced,4723,5912,0,Y,No,14,3,3,80,2,30,3,3,4,2,12,6
119,33,No,Travel_Frequently,1713,Research & Development,22,2,Other,1,836,3,Male,97,3,2,Sales Executive,2,Single,15049,16580,0,Y,Yes,14,3,3,80,0,21,3,2,33,2,2,9
120,20,No,Travel_Frequently,567,Sales,2,3,Human Resources,1,837,3,Female,85,3,2,Sales Representative,4,Divorced,9975,20920,3,Y,No,12,3,3,80,0,36,3,3,2,0,0,8
121,19,No,Non-Travel,1924,Research & Development,3,2,Medical,1,1573,4,Male,47,2,1,Research Scientist,3,Married,5001,13691,0,Y,No,12,4,4,80,1,17,3,4,8,1,0,6
122,35,No,Travel_Rarely,1802,Sales,20,3,Technical Degree,1,1471,4,Male,69,3,1,Sales Executive,4,Divorced,20448,28612,0,Y,No,12,3,3,80,0,16,3,2,20,2,6,2
123,34,No,Travel_Rarely,1675,Sales,4,1,Life Sciences,1,1127,1,Male,48,3,1,Manufacturing Director,2,Married,4222,22624,0,Y,No,16,3,3,80,0,8,2,3,32,2,0,2
124,36,No,Travel_Rarely,841,Research & Development,18,1,Marketing,1,1164,2,Male,133,2,4,Laboratory Technician,4,Divorced,12192,24099,0,Y,Yes,14,3,3,80,0,23,3,2,1,2,0,2
125,37,Yes,Travel_Rarely,697,Research & Development,31,2,Technical Degree,1,1489,4,Male,94,1,4,Sales Executive,4,Married,7751,8823,0,Y,No,20,3,1,80,0,8,2,3,9,0,0,2
126,18,No,Travel_Rarely,905,Sales,7,4,Life Sciences,1,1804,3,Male,50,3,3,Sales Executive,4,Divorced,10738,6313,0,Y,No,12,3,3,80,0,4,5,4,5,0,2,2
127,52,No,Travel_Rarely,1747,Research & Development,27,4,Other,1,893,1,Male,128,4,3,Laboratory Technician,1,Divorced,4072,5406,1,Y,No,14,3,3,80,0,14,5,3,0,7,0,7
128,50,No,Travel_Frequently,1813,Research & Development,24,3,Other,1,1049,4,Male,113,3,2,Sales Executive,3,Single,12768,33212,0,Y,No,12,3,3,80,0,28,3,2,2,4,1,8
129,48,No,Travel_Rarely,1850,Research & Development,7,4,Other,1,984,3,Male,124,3,2,Laboratory Technician,4,Married,21703,33974,6,Y,No,14,4,3,80,0,10,3,2,5,0,0,8
130,32,No,Travel_Frequently,910,Research & Development,30,4,Medical,1,1465,4,Male,130,2,1,Sales Executive,4,Divorced,8019,17309,0,Y,No,14,3,3,80,2,10,1,2,5,2,0,0
131,30,No,Travel_Frequently,1903,Sales,20,2,Medical,1,1537,4,Male,33,3,3,Sales Executive,4,Married,5403,13836,0,Y,Yes,13,3,3,80,3,10,2,1,1,3,1,0
132,30,Yes,Travel_Rarely,773,Research & Development,15,3,Medical,1,1975,4,Female,102,3,1,Research Director,4,Single,12995,19356,6,Y,No,14,3,3,80,1,10,4,2,2,0,0,2
133,50,No,Travel_Rarely,1347,Research & Development,11,1,Life Sciences,1,882,1,Male,50,3,3,Research Director,4,Single,5239,18694,1,Y,No,20,3,3,80,1,21,1,2,4,3,7,7
134,30,No,Travel_Rarely,755,Research & Development,25,2,Life Sciences,1,247,4,Male,30,4,1,Sales Executive,4,Married,4330,19390,4,Y,Yes,14,3,4,80,1,5,5,2,5,10,0,2
135,30,No,Travel_Frequently,1809,Research & Development,8,4,Medical,1,551,4,Male,55,3,3,Manufacturing Director,1,Married,9756,31345,0,Y,Yes,19,3,1,80,1,10,5,3,10,0,4,0
